"account_id","english_name","dealer_code","year","month","monthly_value","yearly_value"
"9501D","Other MMSCAN Program Income","80475",2024,1,"0","0"
"9502D","Other MMSCAN Program Expense","80475",2024,1,"0","0"
"3310U","Finance Income - New","80475",2024,1,"4","4"
"3703G","Service Contracts (CPO)","80475",2024,1,"0","0"
"50007SD","Active Customers ","80475",2024,1,"76","76"
"6025DZ","% Return on Sales (Before Income Tax)","80475",2024,1,"0.91","0.91"
"6053DZ","Occupancy as a % of Company GP","80475",2024,1,"0","0"
"6036DZ","% Return on Sales (Before Income Tax)","80475",2024,1,"0.91","0.91"
"6010DZ","Gross Stock Turn","80475",2024,1,"2.15","2.15"
"6155DZ","Avail. Work Bay Hrs. / Bay","80475",2024,1,"0","0"
"6158DZ","Avail. Work Bay Hrs. / Bay","80475",2024,1,"0","0"
"6076DZ"," UV Units Sold Per UV Sales Rep.","80475",2024,1,"6.33","6.33"
"6077DZ","UV Units Sold Per NV & UV Sales Rep.","80475",2024,1,"2.71","2.71"
"6082DZ","Avg. Cost UV Mit. CPO Retailed","80475",2024,1,"0","0"
"6023DZ","Pts. Months Supply (Guide 1.5 mos)","80475",2024,1,"-6.03","-6.03"
"6083DZ","Avg. Cost UV Mit. CPO in Inventory ","80475",2024,1,"0","0"
"6078DZ","UV Months Supply (Guide 1.5 months)","80475",2024,1,"2.9","2.9"
"6164DZ","Efficiency (Guide 110 - 125%)","80475",2024,1,"0","0"
"6162DZ","Productivity (Guide 85% +)","80475",2024,1,"0","0"
"6034DZ","Break Even New & Used Units ","80475",2024,1,"41.7","41.7"
"6109DZ","Productivity (Guide 85% +)","80475",2024,1,"22.44","22.44"
"6114DZ","% of Labour Sales DCP","80475",2024,1,"0","0"
"6116DZ","% of Labour Sales Internal","80475",2024,1,"54.23","54.23"
"6009DZ","Tire Inventory Over 12 Mo's (%)","80475",2024,1,"0","0"
"6093DZ","UV Units Sold Per NV & UV Sales Rep.","80475",2024,1,"0","0"
"6097DZ","Used Retail to Wholesale Ratio ","80475",2024,1,"0","0"
"6150DZ","% of Labour Sales DCP","80475",2024,1,"0","0"
"6072DZ","NV Units Sold Retail Per NV Sales Rep.","80475",2024,1,"0","0"
"6107DZ","CP Effective Rate as a % of Posted Rate","80475",2024,1,"101.14","101.14"
"6065DZ",NULL,"80475",2024,1,"0","0"
"6127DZ","Productivity (Guide 85% +)","80475",2024,1,"22.44","22.44"
"6098DZ","Avg. Cost UV Mit. CPO Retailed","80475",2024,1,"0","0"
"6073DZ","Advertising PNVR (Dealer Retail Sales)","80475",2024,1,"0","0"
"6035DZ",NULL,"80475",2024,1,"13428","13428"
"6120DZ","CP Labour Sales per Technician","80475",2024,1,"14518","14518"
"6133DZ","% of Labour Sales CPO Warranty","80475",2024,1,"0","0"
"6074DZ","Advertising PNVT (Dealer Target) ","80475",2024,1,"0","0"
"6096DZ","Used to New Retail Ratio","80475",2024,1,"0","0"
"6149DZ","% of Labour Sales Warranty","80475",2024,1,"0","0"
"6024DZ","Profit or Loss (Before Income Tax)","80475",2024,1,"13428","13428"
"6045DZ","Break Even New & Used Units ","80475",2024,1,"41.7","41.7"
"6032DZ","Liquidity in Dollars","80475",2024,1,"0","0"
"6081DZ","Used Retail to Wholesale Ratio ","80475",2024,1,"0","0"
"6113DZ","% of Labour Sales Warranty","80475",2024,1,"4.69","4.69"
"6157DZ","Productive / Non Productive Personnel","80475",2024,1,"133.33","133.33"
"6119DZ","Hours Sold per Technician","80475",2024,1,"245","245"
"6132DZ","% of Labour Sales DCP","80475",2024,1,"0","0"
"6063DZ"," NV Months Supply (Guide 2.5 months)","80475",2024,1,"3.59","3.59"
"6079DZ","UV Stock Turn (Guide >7) ","80475",2024,1,"4.14","4.14"
"6003DZ","CP Pts. : CP Labour Sls. (Inc. Tires)","80475",2024,1,"0.66","0.66"
"6022DZ","Sales $'s per Wholesale Invoice","80475",2024,1,"0","0"
"6019DZ","CP Pts. : CP Labour Sls. (Inc. Tires)","80475",2024,1,"0","0"
"6092DZ","UV Units Sold Per UV Sales Rep.","80475",2024,1,"0","0"
"6030DZ","Net Working Capital Ratio","80475",2024,1,"1.18","1.18"
