"account_id","english_name","dealer_code","year","month","monthly_value","yearly_value"
"40000U","TOTAL MITSUBISHI CARS RETAIL (LINES 2  THRU 4)","80475",2022,1,"1","1"
"6097DZ","Used Retail to Wholesale Ratio ","80475",2022,1,"0","0"
"46000U","TOTAL BODY SHOP DEPT. (LINES 30 THRU 35)","80475",2022,1,"0","0"
"6093DZ","UV Units Sold Per NV & UV Sales Rep.","80475",2022,1,"0","0"
"6089DZ","Used Retail to Wholesale Ratio ","80475",2022,1,"6","6"
"6013DZ","Warranty Pts. : Warranty Labour Sales","80475",2022,1,"2.93","2.93"
"6015DZ","Sales $'s per Wholesale Invoice","80475",2022,1,"53","53"
"6085DZ","UV Units Sold Per NV & UV Sales Rep.","80475",2022,1,"1.5","1.5"
"13000AD","SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26)","80475",2022,1,"15398","15398"
"3028U","Eclipse Cross","80475",2022,1,"2","2"
"6129DZ",NULL,"80475",2022,1,"0","0"
"1490VV","(
SUVs
)","80475",2022,1,"0","0"
"50107SD","Active Customers","80475",2022,1,"0","0"
"50112SD","Avg. Technician Wage","80475",2022,1,"0","0"
"50101SD","# of Productive Bays ","80475",2022,1,"0","0"
"8125D","Absentee Wages","80475",2022,1,"0","0"
"8124D","Absentee Wages","80475",2022,1,"152","152"
"13000BD","SUB-TOTAL PERSONNEL EXPENSES (LINES 17 THRU 26)","80475",2022,1,"6896","6896"
"14000BD","TOTAL SEMI FIXED EXPENSE (LINES 28 THRU 48) ","80475",2022,1,"5296","5296"
"45500S","TOTAL SERVICE DEPARTMENT (LINES 7 THRU 13)","80475",2022,1,"21990","21990"
"17000AD","TOTAL OPERATING EXPENSES (LINES 16 & 63)","80475",2022,1,"75947","75947"
"1280BD","Warranty Rec. / P.D.I. - Mitsubishi","80475",2022,1,"10449","10449"
"3060U","TOTAL MITSUBISHI FLEET","80475",2022,1,"0","0"
"41000U","TOTAL MITSUBISHI SUV RETAIL (LINES 6 THRU 15)","80475",2022,1,"3","3"
"42000U","TOTAL MIT. NEW (LINES 18  THRU 20)","80475",2022,1,"4","4"
"3015U","Outlander","80475",2022,1,"1","1"
"3026U","Outlander PHEV","80475",2022,1,"0","0"
"50009SD","Hours Available","80475",2022,1,"260","260"
"50011SD","Hours Sold","80475",2022,1,"152","152"
"8121D","Absentee Wages","80475",2022,1,"0","0"
"8122D","Absentee Wages","80475",2022,1,"0","0"
"1280CD","Warranty Rec. / P.D.I. - Mitsubishi","80475",2022,1,"0","0"
"6460U","Adjustment - Cost of Labour Sales Body Shop","80475",2022,1,"0","0"
"6460G","Adjustment - Cost of Labour Sales Body Shop","80475",2022,1,"0","0"
"6110G","Adjustment Cost of Labour Sales - Mechanical","80475",2022,1,"0","0"
"6110U","Adjustment Cost of Labour Sales - Mechanical","80475",2022,1,"0","0"
"4531G","Adjustments - Used Vehicles Inventory","80475",2022,1,"0","0"
"8002D","Advertising (Institutional)","80475",2022,1,"1064","1064"
"8001D","Advertising (Institutional)","80475",2022,1,"2483","2483"
"8005D","Advertising (Institutional) ","80475",2022,1,"0","0"
"8004D","Advertising (Institutional) ","80475",2022,1,"1064","1064"
"0983P","Advisors","80475",2022,1,"0","0"
"0991P","Advisors","80475",2022,1,"0","0"
"2320XD","Allowance for Doubtful Accounts","80475",2022,1,"0","0"
"8432D","Amortization - Leaseholds","80475",2022,1,"0","0"
"8431D","Amortization - Leaseholds","80475",2022,1,"0","0"
"8434D","Amortization - Leaseholds","80475",2022,1,"0","0"
"8435D","Amortization - Leaseholds","80475",2022,1,"0","0"
"0977P","Apprentices","80475",2022,1,"2","2"
"0985P","Apprentices","80475",2022,1,"0","0"
"0993P","Apprentices","80475",2022,1,"0","0"
"392DU","APR.","80475",2022,1,"0","0"
"391DU","APR.","80475",2022,1,"0","0"
"396DU","APR.","80475",2022,1,"0","0"
"800000D","(Assets Line 50 minus Liabilities Line 27)","80475",2022,1,"1390710","1390710"
"395HU","AUG.","80475",2022,1,"0","0"
"391HU","AUG.","80475",2022,1,"0","0"
"392HU","AUG.","80475",2022,1,"0","0"
"8254D","Bad Debts","80475",2022,1,"0","0"
"8251D","Bad Debts","80475",2022,1,"0","0"
"8252D","Bad Debts","80475",2022,1,"0","0"
"8255D","Bad Debts","80475",2022,1,"0","0"
"1770D","Bldgs. & Improv.","80475",2022,1,"16713","16713"
"5210G","Body P&A RO","80475",2022,1,"0","0"
"5210S","Body P&A RO","80475",2022,1,"0","0"
"M18000ED","Body Shop","80475",2022,1,"0","0"
"5450S","Body Shop Materials","80475",2022,1,"0","0"
"8501D","Bonuses - Employees","80475",2022,1,"0","0"
"8504D","Bonuses - Employees","80475",2022,1,"0","0"
"8505D","Bonuses - Employees","80475",2022,1,"0","0"
"8502D","Bonuses - Employees","80475",2022,1,"0","0"
"8345D","Charitable Donations","80475",2022,1,"0","0"
"8342D","Charitable Donations","80475",2022,1,"0","0"
"8341D","Charitable Donations","80475",2022,1,"0","0"
"8344D","Charitable Donations","80475",2022,1,"0","0"
"3704S","Chemical / Other Income (CPO)","80475",2022,1,"0","0"
"3704G","Chemical / Other Income (CPO)","80475",2022,1,"0","0"
"3630G","Chemical / Other Income (Non CPO)","80475",2022,1,"0","0"
"3630S","Chemical / Other Income (Non CPO)","80475",2022,1,"0","0"
"3708S","Chemical / Other Income (Other Makes)","80475",2022,1,"0","0"
"3708G","Chemical / Other Income (Other Makes)","80475",2022,1,"0","0"
"3280G","Chemical Sales - New","80475",2022,1,"1146","1146"
"3280S","Chemical Sales - New","80475",2022,1,"1551","1551"
"2501D","Common Stock","80475",2022,1,"10","10"
"8662D","Company Vehicle Expense","80475",2022,1,"0","0"
"8665D","Company Vehicle Expense","80475",2022,1,"0","0"
"8661D","Company Vehicle Expense","80475",2022,1,"0","0"
"8664D","Company Vehicle Expense","80475",2022,1,"0","0"
"1850D","Company Vehicles","80475",2022,1,"9660","9660"
"1860D","Company Vehicles","80475",2022,1,"8961","8961"
"8102D","Compensation - Clerical","80475",2022,1,"757","757"
"8101D","Compensation - Clerical","80475",2022,1,"6442","6442"
"8104D","Compensation - Clerical","80475",2022,1,"757","757"
"8105D","Compensation - Clerical","80475",2022,1,"0","0"
"8041D","Compensation - Finance","80475",2022,1,"1914","1914"
"8042D","Compensation - Finance","80475",2022,1,"2163","2163"
"8040D","Compensation - Finance","80475",2022,1,"4077","4077"
"8640D","Compensation - Insurance","80475",2022,1,"0","0"
"8641D","Compensation - Insurance","80475",2022,1,"0","0"
"8642D","Compensation - Insurance","80475",2022,1,"0","0"
"8174D","Compensation - Other Supervisor","80475",2022,1,"0","0"
"8175D","Compensation - Other Supervisor","80475",2022,1,"0","0"
"8171D","Compensation - Other Supervisor","80475",2022,1,"0","0"
"8172D","Compensation - Other Supervisor","80475",2022,1,"0","0"
"8084D","Compensation - Owner","80475",2022,1,"658","658"
"8081D","Compensation - Owner","80475",2022,1,"1535","1535"
"8082D","Compensation - Owner","80475",2022,1,"658","658"
"8085D","Compensation - Owner","80475",2022,1,"0","0"
"8020D","Compensation - Sales","80475",2022,1,"8462","8462"
"8021D","Compensation - Sales","80475",2022,1,"6031","6031"
"8022D","Compensation - Sales","80475",2022,1,"2431","2431"
"8621D","Compensation - Service Contracts","80475",2022,1,"0","0"
"8622D","Compensation - Service Contracts","80475",2022,1,"0","0"
"8620D","Compensation - Service Contracts","80475",2022,1,"0","0"
"8095D","Compensation - Supervisors","80475",2022,1,"0","0"
"8094D","Compensation - Supervisors","80475",2022,1,"4172","4172"
"8091D","Compensation - Supervisors","80475",2022,1,"4832","4832"
"8092D","Compensation - Supervisors","80475",2022,1,"4021","4021"
"1020D","Contracts in Transit","80475",2022,1,"8236","8236"
"6143DZ","CP Effective Rate as a % of Posted Rate","80475",2022,1,"0","0"
"5216G","CPO P&A RO","80475",2022,1,"0","0"
"5216S","CPO P&A RO","80475",2022,1,"0","0"
"5216U","CPO P&A RO","80475",2022,1,"0","0"
"5011S","CPO Warranty Labour - MITSUBISHI","80475",2022,1,"0","0"
"5011G","CPO Warranty Labour - MITSUBISHI","80475",2022,1,"0","0"
"2130D","Current Portion of Long Term Debt","80475",2022,1,"0","0"
"5400S","Customer Body Shop Labour","80475",2022,1,"0","0"
"11790D","Equip. M/S","80475",2022,1,"52848","52848"
"5400G","Customer Body Shop Labour","80475",2022,1,"0","0"
"2010D","Customer Deposits","80475",2022,1,"0","0"
"5000G","Customer Mechanical Labour - MITSUBISHI","80475",2022,1,"7385","7385"
"5000S","Customer Mechanical Labour - MITSUBISHI","80475",2022,1,"9375","9375"
"8271D","Data Processing","80475",2022,1,"721","721"
"8272D","Data Processing","80475",2022,1,"309","309"
"8275D","Data Processing","80475",2022,1,"0","0"
"8274D","Data Processing","80475",2022,1,"309","309"
"5215U","DCP P&A RO","80475",2022,1,"0","0"
"5215S","DCP P&A RO","80475",2022,1,"0","0"
"5215G","DCP P&A RO","80475",2022,1,"0","0"
"3381S","DCP Service Contracts - New","80475",2022,1,"0","0"
"3381G","DCP Service Contracts - New","80475",2022,1,"0","0"
"5010S","DCP Warranty Labour - MITSUBISHI","80475",2022,1,"0","0"
"5010G","DCP Warranty Labour - MITSUBISHI","80475",2022,1,"0","0"
"8031D","Dealer Advertising Allowance","80475",2022,1,"0","0"
"1280DD","Warranty Rec. / P.D.I. - Mitsubishi","80475",2022,1,"0","0"
"8030D","Dealer Advertising Allowance","80475",2022,1,"0","0"
"8011D","Dealer Advertising Expense","80475",2022,1,"167","167"
"8012D","Dealer Advertising Expense","80475",2022,1,"167","167"
"8010D","Dealer Advertising Expense","80475",2022,1,"334","334"
"396LU","DEC.","80475",2022,1,"0","0"
"391LU","DEC.","80475",2022,1,"0","0"
"8062D","Delivery Expense","80475",2022,1,"683","683"
"8064D","Delivery Expense","80475",2022,1,"723","723"
"8065D","Delivery Expense","80475",2022,1,"0","0"
"8061D","Delivery Expense","80475",2022,1,"1688","1688"
"8190D","Demo Expense","80475",2022,1,"0","0"
"8192D","Demo Expense","80475",2022,1,"0","0"
"8455D","Depreciation - Bldgs. & Improvements","80475",2022,1,"0","0"
"8454D","Depreciation - Bldgs. & Improvements","80475",2022,1,"0","0"
"8452D","Depreciation - Buildings & Improvements","80475",2022,1,"0","0"
"8451D","Depreciation - Buildings & Improvements","80475",2022,1,"0","0"
"1710D","Depreciation of Lease & Rental Units","80475",2022,1,"0","0"
"8232D","Depreciation - Other","80475",2022,1,"0","0"
"8231D","Depreciation - Other","80475",2022,1,"42351","42351"
"8234D","Depreciation - Other ","80475",2022,1,"0","0"
"8235D","Depreciation - Other ","80475",2022,1,"0","0"
"18000DD","DEPT'L OPERATING PROFIT (LINE 2 MINUS 64)","80475",2022,1,"-5170","-5170"
"1280ED","Warranty Rec. / P.D.I. - Mitsubishi","80475",2022,1,"0","0"
"1280FD","Warranty Rec. / P.D.I. - Mitsubishi","80475",2022,1,"0","0"
"1230BD","Sales Incentives Retail / Fleet","80475",2022,1,"0","0"
"1430D","New Vehicles - Other Makes ","80475",2022,1,"1445","1445"
"18000ED","DEPT'L OPERATING PROFIT (LINE 2 MINUS 64)","80475",2022,1,"0","0"
"5020S","Detailing","80475",2022,1,"0","0"
"5020G","Detailing","80475",2022,1,"0","0"
"3099G","DISCONTINUED MODELS","80475",2022,1,"0","0"
"8161D","Employee Benefits","80475",2022,1,"200","200"
"8165D","Employee Benefits","80475",2022,1,"0","0"
"8164D","Employee Benefits","80475",2022,1,"109","109"
"8162D","Employee Benefits","80475",2022,1,"116","116"
"2270D","Employee Bonuses Payable","80475",2022,1,"3550","3550"
"8242D","Equipment - Repairs & Rental","80475",2022,1,"0","0"
"8241D","Equipment - Repairs & Rental","80475",2022,1,"0","0"
"8244D","Equipment - Repairs & Rental","80475",2022,1,"0","0"
"8245D","Equipment - Repairs & Rental","80475",2022,1,"0","0"
"1800D","Equip. M/S","80475",2022,1,"59050","59050"
"1820D","Equip. P/A","80475",2022,1,"13720","13720"
"1810D","Equip. P/A","80475",2022,1,"25570","25570"
"391BU","FEB.","80475",2022,1,"0","0"
"396BU","FEB.","80475",2022,1,"0","0"
"392BU","FEB.","80475",2022,1,"0","0"
"395BU","FEB.","80475",2022,1,"0","0"
"3701S","Finance Income (CPO)","80475",2022,1,"0","0"
"3310S","Finance Income - New","80475",2022,1,"0","0"
"3310G","Finance Income - New","80475",2022,1,"0","0"
"3707S","Finance Income (Non CPO)","80475",2022,1,"0","0"
"3707G","Finance Income (Non CPO)","80475",2022,1,"0","0"
"3710G","Finance Income (Other Makes)","80475",2022,1,"0","0"
"3710S","Finance Income (Other Makes)","80475",2022,1,"0","0"
"1130D","Finance / Insurance Income Rec. - Current","80475",2022,1,"0","0"
"1130BD","Finance / Insurance Income Rec. - Current","80475",2022,1,"0","0"
"1130CD","Finance / Insurance Income Rec. - Current","80475",2022,1,"0","0"
"1130ED","Finance / Insurance / Service Contracts","80475",2022,1,"0","0"
"1130DD","Finance / Insurance / Service Contracts","80475",2022,1,"0","0"
"1130FD","Finance / Insurance / Service Contracts","80475",2022,1,"0","0"
"1960D","Finance / Insur. Income Receivable - Deferred","80475",2022,1,"0","0"
"0970P","F & I Sales Reps.","80475",2022,1,"0","0"
"530P","F & I Sales Reps.","80475",2022,1,"1","1"
"0963P","F&I Sales Reps","80475",2022,1,"1","1"
"1230CD","Sales Incentives Retail / Fleet","80475",2022,1,"0","0"
"8720D","Fixed Oper. Advert. Co-Op Credit","80475",2022,1,"0","0"
"8724D","Fixed Oper. Advertising Co-Op Credit ","80475",2022,1,"0","0"
"8225D","Fixed Oper. Advertising / Promotion","80475",2022,1,"0","0"
"8224D","Fixed Oper. Advertising / Promotion","80475",2022,1,"0","0"
"1230DD","Sales Incentives Retail / Fleet","80475",2022,1,"0","0"
"47000S","TOTAL P&A (LINES 16 THRU 27)","80475",2022,1,"28578","28578"
"8701D","Floor Plan Credits","80475",2022,1,"6588","6588"
"8700D","Floor Plan Credits","80475",2022,1,"6588","6588"
"8050D","Floor Plan Interest","80475",2022,1,"2708","2708"
"8051D","Floor Plan Interest","80475",2022,1,"1354","1354"
"8052D","Floor Plan Interest","80475",2022,1,"1354","1354"
"8334D","Freight & Express","80475",2022,1,"3","3"
"8335D","Freight & Express","80475",2022,1,"0","0"
"8332D","Freight & Express","80475",2022,1,"3","3"
"1840D","Furnitures & Fixtures","80475",2022,1,"52425","52425"
"5280G","Gas, Oil & Grease","80475",2022,1,"0","0"
"5280U","Gas, Oil & Grease","80475",2022,1,"0","0"
"5280S","Gas, Oil & Grease","80475",2022,1,"0","0"
"22421150D","Goods and Service Tax (GST) / Harmonized Sales Tax (HST)","80475",2022,1,"-51127","-51127"
"8075D","Goodwill Policy","80475",2022,1,"0","0"
"8071D","Goodwill Policy","80475",2022,1,"0","0"
"8072D","Goodwill Policy","80475",2022,1,"0","0"
"8074D","Goodwill Policy","80475",2022,1,"0","0"
"8491D","Heat - Light - Power - Water","80475",2022,1,"405","405"
"8492D","Heat - Light - Power - Water","80475",2022,1,"173","173"
"8495D","Heat - Light - Power - Water","80475",2022,1,"0","0"
"560TP","Hired YTD","80475",2022,1,"0","0"
"560DP","Hired YTD ","80475",2022,1,"0","0"
"560BP","Hired YTD ","80475",2022,1,"0","0"
"560CP","Hired YTD ","80475",2022,1,"0","0"
"560EP","Hired YTD ","80475",2022,1,"0","0"
"6119DZ","Hours Sold per Technician","80475",2022,1,"76","76"
"8471D","Insurance - Buildings & Improvements","80475",2022,1,"757","757"
"8475D","Insurance - Buildings & Improvements","80475",2022,1,"0","0"
"8474D","Insurance - Buildings & Improvements","80475",2022,1,"324","324"
"8472D","Insurance - Buildings & Improvements","80475",2022,1,"324","324"
"3702S","Insurance Income (CPO)","80475",2022,1,"0","0"
"3702G","Insurance Income (CPO)","80475",2022,1,"0","0"
"3341S","Insurance Income - New","80475",2022,1,"0","0"
"3341G","Insurance Income - New","80475",2022,1,"0","0"
"3706G","Insurance Income (Non CPO)","80475",2022,1,"0","0"
"3706S","Insurance Income (Non CPO)","80475",2022,1,"0","0"
"3713G","Insurance Income (Other Makes)","80475",2022,1,"0","0"
"3713S","Insurance Income (Other Makes)","80475",2022,1,"0","0"
"8394D","Insurance - Other","80475",2022,1,"0","0"
"8395D","Insurance - Other","80475",2022,1,"0","0"
"8392D","Insurance - Other","80475",2022,1,"0","0"
"8391D","Insurance - Other","80475",2022,1,"0","0"
"2220D","Insurance Payable","80475",2022,1,"0","0"
"2200D","Interest Payable","80475",2022,1,"0","0"
"48000S","TOTAL FIXED OPERS. (LINES 14, 28 & 36)","80475",2022,1,"50568","50568"
"1285D","Warranty Receivables - Other","80475",2022,1,"0","0"
"2560D","Drawings","80475",2022,1,"0","0"
"8485D","Interest - Real Estate - Mortgage","80475",2022,1,"0","0"
"8484D","Interest - Real Estate - Mortgage","80475",2022,1,"0","0"
"8482D","Interest - Real Estate - Mortgage","80475",2022,1,"0","0"
"8481D","Interest - Real Estate - Mortgage","80475",2022,1,"0","0"
"5430S","Internal Body Shop Labour","80475",2022,1,"0","0"
"5430G","Internal Body Shop Labour","80475",2022,1,"0","0"
"5080S","Internal Mechanical Labour","80475",2022,1,"6200","6200"
"5200S","Internal Mechanical Labour","80475",2022,1,"11175","11175"
"5261G","Internal P&A RO","80475",2022,1,"2741","2741"
"5261U","Internal P&A RO","80475",2022,1,"0","0"
"5261S","Internal P&A RO","80475",2022,1,"10620","10620"
"2550D","Investments","80475",2022,1,"0","0"
"392AU","JAN.","80475",2022,1,"0","0"
"396AU","JAN.","80475",2022,1,"1","1"
"395AU","JAN.","80475",2022,1,"6","6"
"396GU","JUL.","80475",2022,1,"0","0"
"392GU","JUL.","80475",2022,1,"0","0"
"391GU","JUL.","80475",2022,1,"0","0"
"395GU","JUL.","80475",2022,1,"0","0"
"392FU","JUN.","80475",2022,1,"0","0"
"391FU","JUN.","80475",2022,1,"0","0"
"396FU","JUN.","80475",2022,1,"0","0"
"395FU","JUN.","80475",2022,1,"0","0"
"8152D","Laundry & Uniforms","80475",2022,1,"49","49"
"8151D","Laundry & Uniforms","80475",2022,1,"115","115"
"8154D","Laundry & Uniforms ","80475",2022,1,"49","49"
"8155D","Laundry & Uniforms ","80475",2022,1,"0","0"
"3510G","Lease Buyout","80475",2022,1,"0","0"
"3510S","Lease Buyout","80475",2022,1,"0","0"
"1870D","Leasehold","80475",2022,1,"0","0"
"1880D","Leasehold","80475",2022,1,"0","0"
"1680D","Lease Vehicles","80475",2022,1,"0","0"
"8352D","Legal & Auditing","80475",2022,1,"0","0"
"8354D","Legal & Auditing","80475",2022,1,"0","0"
"8355D","Legal & Auditing","80475",2022,1,"0","0"
"8351D","Legal & Auditing","80475",2022,1,"0","0"
"4400G","Less: Charge Backs - New","80475",2022,1,"0","0"
"3910U","TOTAL","80475",2022,1,"4","4"
"15000ED","SUB-TOTAL OCCUPANCY (LINES 50 THRU 57)","80475",2022,1,"0","0"
"4750G","Less: Charge Backs - Used","80475",2022,1,"0","0"
"0989P","Manager(s)","80475",2022,1,"0","0"
"0975P","Manager(s)","80475",2022,1,"1","1"
"0968P","Manager(s)","80475",2022,1,"0","0"
"510P","Manager(s)","80475",2022,1,"3","3"
"0982P","Manager(s)","80475",2022,1,"1","1"
"800001D","(Manufacturer Requirement)","80475",2022,1,"0","0"
"391CU","MAR.","80475",2022,1,"0","0"
"392CU","MAR.","80475",2022,1,"0","0"
"1430CU","(
Cars
 )","80475",2022,1,"0","0"
"396CU","MAR.","80475",2022,1,"0","0"
"395CU","MAR.","80475",2022,1,"0","0"
"392EU","MAY","80475",2022,1,"0","0"
"395EU","MAY","80475",2022,1,"0","0"
"391EU","MAY","80475",2022,1,"0","0"
"396EU","MAY","80475",2022,1,"0","0"
"8312D","Membership, Dues, Publications","80475",2022,1,"0","0"
"8311D","Membership, Dues, Publications","80475",2022,1,"0","0"
"8314D","Membership, Dues, Publications ","80475",2022,1,"0","0"
"8315D","Membership, Dues, Publications ","80475",2022,1,"0","0"
"1400MCU","( Mirage )","80475",2022,1,"3","3"
"3025G","Mirage (5-Door)","80475",2022,1,"3104","3104"
"3025S","Mirage (5-Door)","80475",2022,1,"19381","19381"
"8412D","Miscellaneous","80475",2022,1,"567","567"
"8411D","Miscellaneous","80475",2022,1,"1323","1323"
"8415D","Miscellaneous ","80475",2022,1,"0","0"
"8414D","Miscellaneous ","80475",2022,1,"567","567"
"1571D","Miscellaneous Assets","80475",2022,1,"0","0"
"2430D","Mortgages Payable","80475",2022,1,"0","0"
"8651D","New / Used Vehicle Inventory Expense","80475",2022,1,"0","0"
"8652D","New / Used Vehicle Inventory Expense","80475",2022,1,"0","0"
"8650D","New / Used Vehicle Inventory Expense","80475",2022,1,"0","0"
"M17000AD","New Vehicle Department","80475",2022,1,"75947","75947"
"M18000AD","New Vehicle Department","80475",2022,1,"-66959","-66959"
"1572D","Non-Automotive Inventory","80475",2022,1,"0","0"
"50103SDY","Non-Productive / Other","80475",2022,1,"0","0"
"50003SDY","Non-Productive / Other ","80475",2022,1,"0","0"
"1910D","Notes and Accts. Rec. - Officers / Owners / Employees","80475",2022,1,"4250","4250"
"2410D","Notes Payable - Capital Loans","80475",2022,1,"900000","900000"
"392KU","NOV.","80475",2022,1,"0","0"
"395KU","NOV.","80475",2022,1,"0","0"
"396KU","NOV.","80475",2022,1,"0","0"
"391KU","NOV.","80475",2022,1,"0","0"
"42000T","NV Target","80475",2022,1,"0","0"
"6066DZ","NV Units Sold Retail Per NV Sales Rep.","80475",2022,1,"1.33","1.33"
"392JU","OCT.","80475",2022,1,"0","0"
"50212SD","Tire Inventory Over 12 Mo's (%)","80475",2022,1,"0","0"
"396JU","OCT.","80475",2022,1,"0","0"
"391JU","OCT.","80475",2022,1,"0","0"
"395JU","OCT.","80475",2022,1,"0","0"
"8201D","Office Supplies & Stationery","80475",2022,1,"45","45"
"8202D","Office Supplies & Stationery","80475",2022,1,"19","19"
"8204D","Office Supplies & Stationery","80475",2022,1,"19","19"
"8205D","Office Supplies & Stationery","80475",2022,1,"0","0"
"6151DZ","% of Labour Sales CPO Warranty","80475",2022,1,"0","0"
"6150DZ","% of Labour Sales DCP","80475",2022,1,"0","0"
"50001SDY","# of Productive Bays","80475",2022,1,"0","0"
"50101SDY","# of Productive Bays ","80475",2022,1,"0","0"
"1730D","Other","80475",2022,1,"18924","18924"
"1890D","Other","80475",2022,1,"42633","42633"
"2300D","Other Expenses Payable","80475",2022,1,"70336","70336"
"3281S","Other Ext. Warranty - New","80475",2022,1,"0","0"
"3281G","Other Ext. Warranty - New","80475",2022,1,"0","0"
"1200FD","Other Factory Rec. / Incentives - Mitsubishi","80475",2022,1,"0","0"
"1200BD","Other Factory Rec. / Incentives - Mitsubishi","80475",2022,1,"-9065","-9065"
"1200ED","Other Factory Rec. / Incentives - Mitsubishi","80475",2022,1,"0","0"
"1200DD","Other Factory Rec. / Incentives - Mitsubishi","80475",2022,1,"0","0"
"1200CD","Other Factory Rec. / Incentives - Mitsubishi","80475",2022,1,"0","0"
"1200D","Other Factory Rec. / Incentives - Mitsubishi","80475",2022,1,"-9065","-9065"
"3282S","Other F & I - New","80475",2022,1,"0","0"
"3282G","Other F & I - New","80475",2022,1,"0","0"
"5015G","Other Mechanical Labour","80475",2022,1,"0","0"
"5015S","Other Mechanical Labour","80475",2022,1,"0","0"
"1990D","Other Non-Automotive Assets","80475",2022,1,"57705","57705"
"1950D","Other Notes / Accounts Receivable","80475",2022,1,"0","0"
"5710U","Other P&A","80475",2022,1,"0","0"
"5710S","Other P&A","80475",2022,1,"41","41"
"5710G","Other P&A","80475",2022,1,"22","22"
"8632D","Other Salaries & Wages","80475",2022,1,"560","560"
"8631D","Other Salaries & Wages","80475",2022,1,"560","560"
"8635D","Other Salaries & Wages","80475",2022,1,"0","0"
"8634D","Other Salaries & Wages","80475",2022,1,"560","560"
"8211D","Other Supplies & Tools","80475",2022,1,"344","344"
"8214D","Other Supplies & Tools","80475",2022,1,"147","147"
"8212D","Other Supplies & Tools","80475",2022,1,"147","147"
"8215D","Other Supplies & Tools","80475",2022,1,"0","0"
"2140D","Other Vehicles","80475",2022,1,"0","0"
"1430TU","(
Cars
)","80475",2022,1,"0","0"
"3015S","Outlander","80475",2022,1,"44897","44897"
"3015G","Outlander","80475",2022,1,"2951","2951"
"3026G","Outlander PHEV","80475",2022,1,"0","0"
"3026S","Outlander PHEV","80475",2022,1,"0","0"
"8371D","Outside Services","80475",2022,1,"3031","3031"
"8372D","Outside Services","80475",2022,1,"2429","2429"
"8374D","Outside Services ","80475",2022,1,"1288","1288"
"8375D","Outside Services ","80475",2022,1,"0","0"
"1100DOT","OVER 30 Day","80475",2022,1,"0","0"
"1140DOT","Over 30 days","80475",2022,1,"0","0"
"1285DOF","Over 45 days","80475",2022,1,"0","0"
"1280DOF","Over 45 days","80475",2022,1,"0","0"
"50038ST","Over 90 Days","80475",2022,1,"121617","121617"
"50028ST","Over 90 Days","80475",2022,1,"522615","522615"
"0974P","Owner(s)","80475",2022,1,"0","0"
"0967P","Owner(s)","80475",2022,1,"0","0"
"0988P","Owner(s)","80475",2022,1,"0","0"
"0981P","Owner(s)","80475",2022,1,"0","0"
"500P","Owner(s)","80475",2022,1,"1","1"
"2280D","Owners' Bonuses Payable","80475",2022,1,"0","0"
"6371U","P&A Inventory Adjustment","80475",2022,1,"0","0"
"6371G","P&A Inventory Adjustment","80475",2022,1,"0","0"
"5200G","P&A Repair Order Mechanical","80475",2022,1,"3154","3154"
"5200U","P&A Repair Order Mechanical","80475",2022,1,"0","0"
"M18000DD","Parts & Accessories","80475",2022,1,"-5170","-5170"
"M17000DD","Parts & Accessories","80475",2022,1,"13103","13103"
"1500D","Parts & Accessories - Mitsubishi ","80475",2022,1,"381930","381930"
"1510D","Parts & Accessories - Other","80475",2022,1,"9215","9215"
"1505D","Parts & Accessories - Tires","80475",2022,1,"71865","71865"
"2210D","Payroll Payable","80475",2022,1,"31242","31242"
"8131D","Payroll Taxes","80475",2022,1,"1829","1829"
"8132D","Payroll Taxes","80475",2022,1,"784","784"
"8135D","Payroll Taxes ","80475",2022,1,"0","0"
"8134D","Payroll Taxes ","80475",2022,1,"784","784"
"8181D","Pension Fund","80475",2022,1,"0","0"
"8182D","Pension Fund","80475",2022,1,"0","0"
"8185D","Pension Fund ","80475",2022,1,"0","0"
"8184D","Pension Fund ","80475",2022,1,"0","0"
"2290D","Pension Fund Payable","80475",2022,1,"0","0"
"10011002D","Petty Cash Fund / Cash On Hand","80475",2022,1,"200","200"
"8321D","Postage","80475",2022,1,"0","0"
"8324D","Postage","80475",2022,1,"0","0"
"8325D","Postage","80475",2022,1,"0","0"
"8322D","Postage","80475",2022,1,"0","0"
"1260D","Pre-Delivery - Mitsubishi","80475",2022,1,"0","0"
"2502D","Preferred Stock","80475",2022,1,"0","0"
"1640D","Prepaid Insurance","80475",2022,1,"0","0"
"1610D","Prepaid Other","80475",2022,1,"364128","364128"
"1620D","Prepaid Taxes","80475",2022,1,"0","0"
"2570DV","Profit or Loss (Before Income Tax)","80475",2022,1,"-40676","-40676"
"8110D","Promotion","80475",2022,1,"1483","1483"
"8111D","Promotion","80475",2022,1,"1483","1483"
"8112D","Promotion","80475",2022,1,"0","0"
"1220BD","Receivables Floor Plan Credits","80475",2022,1,"0","0"
"1220CD","Receivables Floor Plan Credits","80475",2022,1,"0","0"
"1220DD","Rec. Floor Plan Credits","80475",2022,1,"0","0"
"1220ED","Rec. Floor Plan Credits","80475",2022,1,"0","0"
